Date,Open,Close,Volume,Percent Change
"May 10, 2023",12.02,11.89,"48,328,449",-1.081530782
"May 09, 2023",11.89,11.86,"42,827,400",-0.252312868
"May 08, 2023",12.02,12.02,"49,943,800",0
"May 05, 2023",11.79,11.99,"64,138,800",1.696352841
"May 04, 2023",11.8,11.56,"79,792,900",-2.033898305
"May 03, 2023",11.74,11.79,"94,050,700",0.4258943782
"May 02, 2023",12.05,11.8,"91,090,400",-2.074688797
"May 01, 2023",12.01,12.06,"59,834,200",0.4163197336
"Apr 28, 2023",11.59,11.88,"54,996,800",2.502157032
"Apr 27, 2023",11.61,11.61,"53,280,300",0
"Apr 26, 2023",11.8,11.54,"58,105,300",-2.203389831
"Apr 25, 2023",11.97,11.77,"63,114,700",-1.670843776
"Apr 24, 2023",11.89,12.16,"57,794,700",2.270815812
"Apr 21, 2023",11.9,11.81,"46,926,500",-0.756302521
"Apr 20, 2023",11.81,11.87,"79,563,100",0.5080440305
"Apr 19, 2023",12.6,12.22,"69,451,800",-3.015873016
"Apr 18, 2023",12.7,12.73,"38,865,900",0.2362204724
"Apr 17, 2023",12.5,12.68,"40,191,100",1.44
"Apr 14, 2023",12.45,12.52,"43,542,000",0.562248996
"Apr 13, 2023",12.64,12.46,"75,485,700",-1.424050633
"Apr 12, 2023",13.06,12.67,"53,845,500",-2.986217458
"Apr 11, 2023",12.79,12.87,"63,633,600",0.625488663
"Apr 10, 2023",12.2,12.72,"61,326,200",4.262295082
"Apr 06, 2023",12.42,12.33,"36,355,800",-0.7246376812
"Apr 05, 2023",12.58,12.43,"53,332,900",-1.192368839
"Apr 04, 2023",12.77,12.72,"54,655,700",-0.3915426782
"Apr 03, 2023",12.53,12.68,"55,956,300",1.197126895
"Mar 31, 2023",12.41,12.6,"66,868,200",1.531023368
"Mar 30, 2023",12.28,12.29,"57,751,300",0.08143322476
"Mar 29, 2023",11.78,12.05,"48,655,400",2.292020374
"Mar 28, 2023",11.55,11.6,"41,385,900",0.4329004329
"Mar 27, 2023",11.63,11.52,"55,941,100",-0.9458297506
"Mar 24, 2023",11.32,11.51,"72,425,300",1.67844523
"Mar 23, 2023",11.65,11.42,"74,225,300",-1.974248927
"Mar 22, 2023",11.76,11.48,"69,729,100",-2.380952381
"Mar 21, 2023",11.4,11.72,"74,794,900",2.807017544
"Mar 20, 2023",11.33,11.18,"74,975,100",-1.3239188
"Mar 17, 2023",11.7,11.3,"249,885,100",-3.418803419
"Mar 16, 2023",11.53,11.82,"74,017,200",2.515177797
"Mar 15, 2023",11.5,11.71,"108,909,300",1.826086957
"Mar 14, 2023",12.21,11.93,"93,844,200",-2.293202293
"Mar 13, 2023",11.93,12.03,"119,167,600",0.8382229673
"Mar 10, 2023",12.43,12.1,"73,897,400",-2.654867257
"Mar 09, 2023",13.02,12.45,"65,423,500",-4.377880184
"Mar 08, 2023",12.78,12.98,"46,421,000",1.564945227
"Mar 07, 2023",12.94,12.83,"46,540,400",-0.8500772798
"Mar 06, 2023",13.08,12.98,"50,571,200",-0.7645259939
"Mar 03, 2023",12.72,13.08,"80,080,200",2.830188679
"Mar 02, 2023",12.38,12.55,"78,214,100",1.373182553
"Mar 01, 2023",12.35,12.32,"85,328,800",-0.2429149798
"Feb 28, 2023",12.07,12.07,"59,796,800",0
"Feb 27, 2023",11.98,12.06,"60,378,100",0.6677796327
"Feb 24, 2023",11.82,11.88,"50,631,600",0.5076142132
"Feb 23, 2023",12.32,12.07,"57,952,800",-2.029220779
"Feb 22, 2023",12.24,12.21,"52,844,700",-0.2450980392
"Feb 21, 2023",12.72,12.2,"77,724,200",-4.088050314
"Feb 17, 2023",12.82,12.89,"54,401,000",0.5460218409
"Feb 16, 2023",12.73,12.91,"64,145,500",1.413982718
"Feb 15, 2023",12.75,12.93,"65,850,000",1.411764706
"Feb 14, 2023",12.99,12.97,"75,352,900",-0.1539645881
"Feb 13, 2023",12.71,13.09,"64,201,900",2.989771833
"Feb 10, 2023",12.84,12.73,"68,205,200",-0.8566978193
"Feb 09, 2023",13.66,13.49,"78,667,100",-1.244509517
"Feb 08, 2023",13.3,13.42,"62,028,400",0.9022556391
"Feb 07, 2023",13.08,13.45,"70,671,100",2.828746177
"Feb 06, 2023",13.16,13.14,"77,262,800",-0.1519756839
"Feb 03, 2023",13.05,13.23,"165,500,200",1.379310345
"Feb 02, 2023",14.17,14.32,"102,579,800",1.058574453
"Feb 01, 2023",13.52,13.79,"70,641,000",1.99704142
"Jan 31, 2023",13.39,13.51,"83,093,300",0.8961911875
"Jan 30, 2023",13.01,12.89,"64,512,600",-0.9223674097
"Jan 27, 2023",12.88,13.27,"62,114,600",3.027950311
"Jan 26, 2023",12.99,12.92,"48,970,900",-0.5388760585
"Jan 25, 2023",12.6,12.79,"37,739,000",1.507936508
"Jan 24, 2023",12.68,12.74,"41,537,400",0.4731861199
"Jan 23, 2023",12.48,12.8,"49,688,000",2.564102564
"Jan 20, 2023",12.21,12.4,"44,349,200",1.556101556
"Jan 19, 2023",12.29,12.18,"52,918,500",-0.8950366151
"Jan 18, 2023",12.79,12.41,"48,774,400",-2.971071149
"Jan 17, 2023",12.71,12.67,"60,774,900",-0.3147128245
"Jan 13, 2023",12.63,12.72,"96,444,000",0.7125890736
"Jan 12, 2023",13.27,13.43,"58,113,700",1.205727204
"Jan 11, 2023",12.93,13.22,"51,911,600",2.242846094
"Jan 10, 2023",12.68,12.84,"47,065,500",1.261829653
"Jan 09, 2023",12.74,12.69,"50,865,500",-0.3924646782
"Jan 06, 2023",12.12,12.58,"53,089,100",3.795379538
"Jan 05, 2023",12.11,12.25,"50,785,600",1.156069364
"Jan 04, 2023",11.88,12.01,"53,429,700",1.094276094
"Jan 03, 2023",11.82,11.68,"45,809,000",-1.184433164
"Dec 30, 2022",11.4,11.63,"39,232,200",2.01754386
"Dec 29, 2022",11.08,11.54,"53,550,300",4.151624549
"Dec 28, 2022",11.18,10.95,"49,375,400",-2.057245081
