Date,Open,Close,Volume,Percent Change
"May 05, 2023",32.32,33.26,"17,183,400",2.908415842
"May 04, 2023",32.3,31.69,"14,807,400",-1.888544892
"May 03, 2023",32.76,32.48,"13,494,400",-0.8547008547
"May 02, 2023",33.2,33.08,"14,527,600",-0.3614457831
"May 01, 2023",34,33.48,"16,892,300",-1.529411765
"Apr 28, 2023",32.42,33.04,"15,510,700",1.912399753
"Apr 27, 2023",32.36,32.72,"19,730,100",1.112484549
"Apr 26, 2023",32.9,32.22,"18,780,900",-2.066869301
"Apr 25, 2023",33.99,32.91,"34,044,400",-3.177405119
"Apr 24, 2023",33.77,34.29,"16,836,800",1.53982825
"Apr 21, 2023",33.53,33.55,"12,351,400",0.05964807635
"Apr 20, 2023",33.28,33.54,"15,294,800",0.78125
"Apr 19, 2023",34.87,34.58,"11,002,300",-0.8316604531
"Apr 18, 2023",35.45,35.33,"9,444,600",-0.3385049365
"Apr 17, 2023",34.38,35.14,"10,248,900",2.210587551
"Apr 14, 2023",34.75,34.49,"9,155,100",-0.7482014388
"Apr 13, 2023",34.56,34.53,"16,066,200",-0.08680555556
"Apr 12, 2023",35.99,34.62,"12,027,400",-3.806612948
"Apr 11, 2023",35.88,35.41,"16,410,500",-1.309921962
"Apr 10, 2023",34.35,35.73,"11,530,400",4.017467249
"Apr 06, 2023",35,34.59,"10,068,100",-1.171428571
"Apr 05, 2023",35.27,35.09,"10,949,400",-0.5103487383
"Apr 04, 2023",36.51,35.74,"11,279,900",-2.10901123
"Apr 03, 2023",36.38,36.27,"10,887,900",-0.3023639362
"Mar 31, 2023",36.27,36.68,"10,867,100",1.130410808
"Mar 30, 2023",36.25,35.99,"9,300,200",-0.7172413793
"Mar 29, 2023",34.89,35.7,"13,290,000",2.321582115
"Mar 28, 2023",34.46,34.22,"12,214,200",-0.6964596634
"Mar 27, 2023",34.32,34.45,"11,318,400",0.3787878788
"Mar 24, 2023",33.46,33.71,"11,914,300",0.747160789
"Mar 23, 2023",34.37,33.74,"12,585,400",-1.83299389
"Mar 22, 2023",35.13,34.05,"12,929,700",-3.074295474
"Mar 21, 2023",34.63,35.1,"13,685,100",1.357204736
"Mar 20, 2023",33.45,33.62,"14,938,800",0.5082212257
"Mar 17, 2023",34.28,33.38,"27,743,500",-2.625437573
"Mar 16, 2023",33.85,34.61,"23,883,900",2.245199409
"Mar 15, 2023",34.61,34.33,"17,992,100",-0.8090147356
"Mar 14, 2023",36.46,35.6,"18,938,200",-2.358749314
"Mar 13, 2023",35.62,35.76,"21,584,200",0.3930376193
"Mar 10, 2023",37.7,36.52,"14,139,400",-3.129973475
"Mar 09, 2023",39.52,37.82,"15,604,100",-4.301619433
"Mar 08, 2023",39.7,39.76,"10,674,800",0.1511335013
"Mar 07, 2023",40.22,39.74,"12,126,900",-1.193436101
"Mar 06, 2023",41.02,40.45,"9,810,000",-1.389566065
"Mar 03, 2023",40.39,41.01,"13,429,700",1.535033424
"Mar 02, 2023",38.41,39.53,"12,908,600",2.915907316
"Mar 01, 2023",38.68,38.72,"14,164,800",0.1034126163
"Feb 28, 2023",39.21,38.74,"17,166,700",-1.198673808
"Feb 27, 2023",39.53,39.31,"17,310,600",-0.5565393372
"Feb 24, 2023",38.91,39.18,"12,929,600",0.6939090208
"Feb 23, 2023",41.05,39.25,"19,930,700",-4.384896468
"Feb 22, 2023",41.23,40.89,"9,870,000",-0.8246422508
"Feb 21, 2023",42.43,41.13,"12,320,100",-3.063869903
"Feb 17, 2023",43,43.17,"13,034,100",0.3953488372
"Feb 16, 2023",42.39,43.1,"14,549,600",1.674923331
