Date,Open,Close,Volume,Percent Change
"May 26, 2023",11.59,12.14,"106,309,446",6.678383128
"May 25, 2023",11.33,11.38,"51,328,900",0.4413062665
"May 24, 2023",11.64,11.33,"71,391,000",-3.410059676
"May 23, 2023",11.53,11.73,"56,843,800",0.8598452279
"May 22, 2023",11.71,11.63,"57,417,200",-0.1716738197
"May 19, 2023",11.66,11.65,"43,450,100",0.0859106529
"May 18, 2023",11.46,11.64,"38,181,400",1.217391304
"May 17, 2023",11.35,11.50,"50,077,500",2.22222222222
"May 16, 2023",11.55,11.25,"60,514,900",-3.350515464
"May 15, 2023",11.70,11.64,"53,197,000",-0.2570694087
"May 12, 2023",11.93,11.67,"42,881,488",-1.6849199663
"May 11, 2023",11.83,11.87,"42,687,664",-0.1682085786
"May 10, 2023",12.02,11.89,"48,328,449",0.2529510961
"May 09, 2023",11.89,11.86,"42,827,400",-1.331114809
"May 08, 2023",12.02,12.02,"49,943,800",0.2502085071
"May 05, 2023",11.79,11.99,"64,138,800",3.719723183
"May 04, 2023",11.8,11.56,"79,792,900",-1.950805768
"May 03, 2023",11.74,11.79,"94,050,700",-0.08474576271
"May 02, 2023",12.05,11.8,"91,090,400",-2.155887231
"May 01, 2023",12.01,12.06,"59,834,200",1.515151515
"Apr 28, 2023",11.59,11.88,"54,996,800",2.325581395
"Apr 27, 2023",11.61,11.61,"53,280,300",0.6065857886
"Apr 26, 2023",11.8,11.54,"58,105,300",-1.954120646
"Apr 25, 2023",11.97,11.77,"63,114,700",-3.207236842
"Apr 24, 2023",11.89,12.16,"57,794,700",2.963590178
"Apr 21, 2023",11.9,11.81,"46,926,500",-0.5054759899
"Apr 20, 2023",11.81,11.87,"79,563,100",-2.864157119
"Apr 19, 2023",12.6,12.22,"69,451,800",-4.006284368
"Apr 18, 2023",12.7,12.73,"38,865,900",0.3943217666
"Apr 17, 2023",12.5,12.68,"40,191,100",1.277955272
"Apr 14, 2023",12.45,12.52,"43,542,000",0.481540931
"Apr 13, 2023",12.64,12.46,"75,485,700",-1.657458564
"Apr 12, 2023",13.06,12.67,"53,845,500",-1.554001554
"Apr 11, 2023",12.79,12.87,"63,633,600",1.179245283
"Apr 10, 2023",12.2,12.72,"61,326,200",3.163017032
"Apr 06, 2023",12.42,12.33,"36,355,800",-0.8045052293
"Apr 05, 2023",12.58,12.43,"53,332,900",-2.279874214
"Apr 04, 2023",12.77,12.72,"54,655,700",0.3154574132
"Apr 03, 2023",12.53,12.68,"55,956,300",0.6349206349
"Mar 31, 2023",12.41,12.6,"66,868,200",2.522375915
"Mar 30, 2023",12.28,12.29,"57,751,300",1.991701245
"Mar 29, 2023",11.78,12.05,"48,655,400",3.879310345
"Mar 28, 2023",11.55,11.6,"41,385,900",0.6944444444
"Mar 27, 2023",11.63,11.52,"55,941,100",0.08688097307
"Mar 24, 2023",11.32,11.51,"72,425,300",0.7880910683
"Mar 23, 2023",11.65,11.42,"74,225,300",-0.5226480836
"Mar 22, 2023",11.76,11.48,"69,729,100",-2.04778157
"Mar 21, 2023",11.4,11.72,"74,794,900",4.830053667
"Mar 20, 2023",11.33,11.18,"74,975,100",-1.061946903
"Mar 17, 2023",11.7,11.3,"249,885,100",-4.399323181
"Mar 16, 2023",11.53,11.82,"74,017,200",0.9393680615
"Mar 15, 2023",11.5,11.71,"108,909,300",-1.844090528
"Mar 14, 2023",12.21,11.93,"93,844,200",-0.8312551953
"Mar 13, 2023",11.93,12.03,"119,167,600",-0.5785123967
"Mar 10, 2023",12.43,12.1,"73,897,400",-2.81124498
"Mar 09, 2023",13.02,12.45,"65,423,500",-4.083204931
"Mar 08, 2023",12.78,12.98,"46,421,000",1.16913484
"Mar 07, 2023",12.94,12.83,"46,540,400",-1.155624037
